Region	Country	ISO code	ADM1	Latitude	Longitude	Year start	Year end	Age start	Age end	Combined Prevalence	Maximum Prevalence
Africa	Ghana	GH	Upper West	10.1322	-2.40027	2008	2008	8	15	0	0
Africa	Ghana	GH	Brong Ahafo	7.77859	-0.480775	2008	2008	9	19	0.154877	0.15
Africa	Ghana	GH	Eastern	6.84981	-0.0222	2008	2008	10	18	0	0
Africa	Ghana	GH	Upper East	10.5116	-1.37215	2008	2008	8	22	0.031191	0.01667
Africa	Ghana	GH	Northern	9.9209	-0.30299	2008	2008	4	17	0.015726	0.01667
Africa	Ghana	GH	Western	4.9743	-1.89335	2008	2008	9	17	0	0
Africa	Ghana	GH	Brong Ahafo	8.21325	-0.649185	2008	2008	7	18	0.157236	0.16667
Africa	Ghana	GH	Eastern	5.78349	-0.2328	2008	2008	9	15	0.077041	0.05
Africa	Ghana	GH	Upper West	10.8429	-1.92346	2008	2008	11	18	0	0
Africa	Ghana	GH	Northern	10.2363	0.2371	2008	2008	6	18	0	0
Africa	Ghana	GH	Upper East	10.9756	-1.10636	2008	2008	7	16	0.031191	0.01667
Africa	Ghana	GH	Western	5.00956	-2.41632	2008	2008	8	16	0	0
Africa	Ghana	GH	Upper West	10.6648	-2.78997	2008	2008	10	19	0	0
Africa	Ghana	GH	Northern	9.16577	-1.5091	2008	2008	9	21	0.061839	0.03333
Africa	Ghana	GH	Ashanti	6.87843	-1.36937	2008	2008	10	19	0.046646	0.03333
Africa	Ghana	GH	Northern	8.55702	-0.50885	2008	2008	6	17	0.062896	0.06667
Africa	Ghana	GH	Northern	8.84099	-0.92221	2008	2008	7	24	0.04717	0.05
Africa	Ghana	GH	Ashanti	6.92548	-1.37612	2008	2008	9	15	0.076801	0.05
Africa	Ghana	GH	Brong Ahafo	7.35144	-2.67901	2008	2008	9	58	0.015726	0.01667
Africa	Ghana	GH	Eastern	6.18122	-0.434685	2008	2008	9	16	0.015726	0.01667
Africa	Ghana	GH	Northern	9.45928	-2.5272	2008	2008	9	20	0.108493	0.1
Africa	Ghana	GH	Ashanti	7.01086	-1.39751	2008	2008	7	16	0.213834	0.2
Africa	Ghana	GH	Brong Ahafo	7.33273	-2.33221	2008	2008	10	16	0	0
Africa	Ghana	GH	Northern	8.75369	-1.10587	2008	2008	10	21	0.151733	0.11667
Africa	Ghana	GH	Northern	9.28102	-0.26068	2008	2008	9	19	0.150946	0.1
Africa	Ghana	GH	Northern	9.27192	-0.052765	2008	2008	6	16	0.123958	0.11667
Africa	Ghana	GH	Central	5.54352	-0.529185	2008	2008	10	17	0	0
Africa	Ghana	GH	Brong Ahafo	8.11725	-2.51822	2008	2008	6	17	0.20126	0.2
Africa	Ghana	GH	Brong Ahafo	8.24662	-1.62103	2008	2008	8	17	0.015726	0.01667
Africa	Ghana	GH	Brong Ahafo	8.22451	-0.67467	2008	2008	10	16	0.170341	0.16667
Africa	Ghana	GH	Brong Ahafo	7.57564	-0.624485	2008	2008	5	19	0.015726	0.01667
Africa	Ghana	GH	Upper West	10.4295	-2.63236	2008	2008	11	19	0	0
Africa	Ghana	GH	Brong Ahafo	7.61321	-2.90484	2008	2008	8	27	0.015726	0.01667
Africa	Ghana	GH	Volta	6.09305	1.06744	2008	2008	10	22	0.04717	0.05
Africa	Ghana	GH	Northern	8.29578	0.181785	2008	2008	7	17	0.108493	0.1
Africa	Ghana	GH	Upper West	10.3594	-2.24292	2008	2008	9	19	0.015726	0.01667
Africa	Ghana	GH	Volta	6.08654	0.39728	2008	2008	11	20	0.015726	0.01667
Africa	Ghana	GH	Northern	8.33409	0.17291	2008	2008	3	18	0.077574	0.06667
Africa	Ghana	GH	Western	5.44307	-2.46429	2008	2008	12	16	0	0
Africa	Ghana	GH	Northern	10.4201	-0.328465	2008	2008	8	19	0.121852	0.08333
Africa	Ghana	GH	Northern	9.63955	-2.58733	2008	2008	7	15	0.015726	0.01667
Africa	Ghana	GH	Eastern	6.3551	-0.300385	2008	2008	6	15	0.015726	0.01667
Africa	Ghana	GH	Eastern	6.10565	-0.141645	2008	2008	10	17	0	0
Africa	Ghana	GH	Northern	9.03924	-2.48642	2008	2008	11	18	0.031191	0.01667
Africa	Ghana	GH	Volta	8.03001	0.332635	2008	2008	10	20	0.047972	0.05085
Africa	Ghana	GH	Brong Ahafo	8.05945	-1.54506	2008	2008	6	15	0.257292	0.27273
Africa	Ghana	GH	Volta	6.0073	0.49564	2008	2008	10	18	0.078613	0.08333
Africa	Ghana	GH	Northern	9.34023	-0.793645	2008	2008	6	16	0.110066	0.11667
Africa	Ghana	GH	Western	5.20845	-2.25775	2008	2008	10	15	0.031443	0.03333
Africa	Ghana	GH	Northern	10.3207	-0.84876	2008	2008	10	18	0.135547	0.08333
Africa	Ghana	GH	Brong Ahafo	7.75168	-0.15456	2008	2008	8	18	0.09434	0.1
Africa	Ghana	GH	Northern	9.85581	-0.39827	2008	2008	5	17	0.061594	0.03333
Africa	Ghana	GH	Ashanti	6.08024	-1.85569	2008	2008	11	18	0.061839	0.03333
Africa	Ghana	GH	Brong Ahafo	8.22476	-0.64572	2008	2008	12	24	0.031191	0.01667
Africa	Ghana	GH	Brong Ahafo	6.81105	-2.70858	2008	2008	8	16	0.015726	0.01667
Africa	Ghana	GH	Northern	8.86098	0.05664	2008	2008	11	20	0.183439	0.16667
Africa	Ghana	GH	Western	5.48469	-2.26216	2008	2008	6	19	0.06211	0.05
Africa	Malawi	MW	Southern	-15.0157	35.07555	2002	2002	9	10	0	0
Africa	Malawi	MW	Southern	-15.7841	35.02375	2002	2002	9	10	0.080292	0.08511
Africa	Malawi	MW	Central	-14.288834	34.158318	2002	2002	9	10	0	0
Africa	Malawi	MW	Central	-13.566283	33.628933	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-11.316916	33.630318	2002	2002	9	10	0.046019	0.04878
Africa	Malawi	MW	Southern	-14.8724	35.680199	2002	2002	9	10	0	0
Africa	Malawi	MW	Central	-13.365533	34.114349	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-9.611567	33.017384	2002	2002	9	10	0.028585	0.0303
Africa	Malawi	MW	Central	-13.981	33.772999	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-10.853283	33.484718	2002	2002	9	10	0.035934	0.01923
Africa	Malawi	MW	Southern	-16.275618	35.180351	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-11.938	33.440517	2002	2002	9	10	0.015217	0.01613
Africa	Malawi	MW	Central	-14.91795	34.734402	2002	2002	9	10	0.015991	0.01695
Africa	Malawi	MW	Central	-13.404384	33.063965	2002	2002	9	10	0.054774	0.03922
Africa	Malawi	MW	Southern	-14.263984	35.442917	2002	2002	9	10	0.054774	0.03922
Africa	Malawi	MW	Central	-13.948867	33.776733	2002	2002	9	10	0.110991	0.11765
Africa	Malawi	MW	Southern	-15.860884	35.054516	2002	2002	9	10	0.123859	0.08475
Africa	Malawi	MW	Southern	-13.7586	35.075333	2002	2002	9	10	0.014509	0.01538
Africa	Malawi	MW	Central	-13.081833	33.645649	2002	2002	9	10	0.019255	0.02041
Africa	Malawi	MW	Southern	-15.860884	35.087849	2002	2002	9	10	0.017802	0.01887
Africa	Malawi	MW	Northern	-11.45535	33.993084	2002	2002	9	10	0	0
Africa	Malawi	MW	Southern	-16.0968	35.347282	2002	2002	9	10	0.015726	0.01667
Africa	Malawi	MW	Central	-13.77345	34.519085	2002	2002	9	10	0	0
Africa	Malawi	MW	Southern	-16.541533	34.896118	2002	2002	9	10	0	0
Africa	Malawi	MW	Southern	-17.099434	35.222252	2002	2002	9	10	0.092243	0.06667
Africa	Malawi	MW	Northern	-10.871667	34.024399	2002	2002	9	10	0.060217	0.06383
Africa	Malawi	MW	Southern	-15.53115	35.602501	2002	2002	9	10	0.031443	0.03333
Africa	Malawi	MW	Central	-13.5964	34.294582	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-12.242383	33.998116	2002	2002	9	10	0	0
Africa	Malawi	MW	Northern	-10.4369	34.245201	1999	1999	9	16	0.501835	0.52
Africa	Malawi	MW	Northern	-9.81307	33.850849	1999	1999	9	16	0.658221	0.69
Africa	Malawi	MW	Northern	-10.5049	34.204449	1999	1999	9	16	0.584628	0.61
Africa	Malawi	MW	Northern	-9.8589	33.842098	1999	1999	9	16	0.731815	0.77
Africa	Nigeria	NG	Ogun	6.44205	4.40703	2003	2005	5	16	0.82167	0.87097
Africa	Nigeria	NG	Ogun	7.22747	3.50389	2003	2005	5	16	0.240142	0.25455
Africa	Nigeria	NG	Ogun	6.99459	3.22703	2003	2005	5	16	0.26533	0.28125
Africa	Nigeria	NG	Ogun	6.54069	4.338	2003	2005	5	16	0.541292	0.57377
Africa	Nigeria	NG	Ogun	6.59745	2.94528	2003	2005	5	16	0.224623	0.2381
Africa	Nigeria	NG	Ogun	6.99222	3.2312	2003	2005	5	16	0.27183	0.28814
Africa	Nigeria	NG	Ogun	6.59166	2.94528	2003	2005	5	16	0.167717	0.17778
Africa	Nigeria	NG	Ogun	7.21373	3.48113	2003	2005	5	16	0.20583	0.21818
Africa	Nigeria	NG	Ogun	6.9479	3.50662	2003	2005	5	16	0.531736	0.56364
Africa	Nigeria	NG	Ogun	6.68337	3.23733	2003	2005	5	16	0.314462	0.33333
