Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Jinja	0.59755	33.076302	1998	2005	7	14	126	92	0.73016
Africa	Uganda	UG	Soroti	2.07183	33.801498	1998	2005	7	14	41	29	0.70732
Africa	Uganda	UG	Hoima	1.43615	30.99	1998	2005	8	16	60	32	0.53333
Africa	Uganda	UG	Apac	1.98438	32.5406	1998	2005	7	12	59	2	0.0339
Africa	Uganda	UG	Soroti	2.27633	33.772499	1998	2005	7	13	42	16	0.38095
Africa	Uganda	UG	Kisoro	-1.33757	29.7985	2005	2005	5	16	56	1	0.01786
Africa	Uganda	UG	Gulu	2.687	32.660301	1998	2005	8	13	59	32	0.54237
Africa	Uganda	UG	Arua	3.25658	31.2983	1998	2005	9	16	63	36	0.57143
Africa	Uganda	UG	Kibaale	0.96595	30.6007	1998	2005	11	18	59	30	0.50847
Africa	Uganda	UG	Arua	3.3063	31.2159	1998	2005	9	13	60	47	0.78333
Africa	Uganda	UG	Gulu	2.26245	32.123299	1998	2005	7	15	63	43	0.68254
Africa	Uganda	UG	Gulu	2.6135	32.474899	1998	2005	7	14	62	34	0.54839
Africa	Uganda	UG	Tororo	0.464917	34.087799	1998	2005	6	15	118	30	0.25424
Africa	Uganda	UG	Gulu	2.83488	32.1562	1998	2005	8	13	55	15	0.27273
Africa	Uganda	UG	Tororo	0.695333	34.178902	2005	2005	5	16	63	20	0.31746
Africa	Uganda	UG	Kitgum	2.85602	33.3428	1998	2005	8	14	61	39	0.63934
Africa	Uganda	UG	Hoima	1.41	30.959999	2002	2002	5	16	60	15	0.25
Africa	Uganda	UG	Moroto	2.52388	34.652699	1998	2005	5	17	61	6	0.09836
Africa	Uganda	UG	Tororo	0.932933	34.002201	2005	2005	5	16	62	37	0.59677
Africa	Uganda	UG	Luwero	1.53913	32.040001	1998	2005	9	13	60	32	0.53333
Africa	Uganda	UG	Apac	2.04067	32.594002	1998	2005	8	11	60	44	0.73333
Africa	Uganda	UG	Bundibugyo	0.8013	30.1108	1998	2005	6	14	45	26	0.57778
Africa	Uganda	UG	Moyo	3.15787	31.821501	1998	2005	10	14	57	34	0.59649
Africa	Uganda	UG	Moyo	3.78507	31.810301	1998	2005	8	15	61	31	0.5082
Africa	Uganda	UG	Kitgum	2.72947	33.051102	1998	2005	8	14	59	39	0.66102
Africa	Uganda	UG	Luwero	1.3156	32.471901	1998	2005	8	13	60	23	0.38333
Africa	Uganda	UG	Gulu	2.89045	32.4468	1998	2005	9	13	63	49	0.77778
Africa	Uganda	UG	Kisoro	-1.34123	29.7756	2005	2005	5	16	56	1	0.01786
Africa	Uganda	UG	Kisoro	-1.23474	29.7157	2005	2005	5	16	60	2	0.03333
Africa	Uganda	UG	Tororo	0.245317	33.943401	1998	2005	7	13	122	74	0.60656
Africa	Uganda	UG	Iganga	0.193717	33.864601	2002	2002	5	16	62	47	0.75806
Africa	Uganda	UG	Nebbi	2.47508	31.507601	1998	2005	9	16	77	40	0.51948
Africa	Uganda	UG	Moroto	2.5364	34.6577	1998	2005	8	13	58	1	0.01724
Africa	Uganda	UG	Mukono	0.80345	33.0187	1998	2005	9	15	63	46	0.73016
Africa	Uganda	UG	Hoima	1.50728	31.059999	1998	2005	8	14	61	15	0.2459
Africa	Uganda	UG	Arua	3.6457	31.4792	1998	2005	7	17	66	14	0.21212
Africa	Uganda	UG	Kitgum	3.2897	32.9189	1998	2005	5	12	57	31	0.54386
Africa	Uganda	UG	Kitgum	3.37955	32.647301	1998	2005	7	12	60	11	0.18333
Africa	Uganda	UG	Apac	2.23432	32.386501	1998	2005	8	12	56	23	0.41071
Africa	Uganda	UG	Jinja	0.559033	33.327099	1998	2005	8	14	128	100	0.78125
Africa	Uganda	UG	Soroti	1.82327	33.786098	1998	2005	5	14	42	32	0.7619
Africa	Uganda	UG	Apac	2.44032	32.8377	1998	2005	7	12	61	20	0.32787
Africa	Uganda	UG	Soroti	1.73383	34.1007	1998	2005	6	12	42	16	0.38095
Africa	Uganda	UG	Jinja	0.614917	33.3004	1998	2005	7	13	128	98	0.76563
Africa	Uganda	UG	Apac	2.08342	32.558899	1998	2005	7	14	59	16	0.27119
Africa	Uganda	UG	Hoima	1.7	31.360001	2002	2002	5	16	60	20	0.33333
Africa	Uganda	UG	Tororo	0.299867	34.030399	1998	2005	7	14	128	92	0.71875
Africa	Uganda	UG	Moyo	3.22965	31.549999	2002	2002	5	16	58	40	0.68965
Africa	Uganda	UG	Moyo	3.6286	31.6553	1998	2005	8	15	57	27	0.47368
Africa	Uganda	UG	Nebbi	2.56368	31.4384	2003	2003	6	14	101	72	0.71287
Africa	Uganda	UG	Masindi	1.84232	31.382799	2003	2003	6	14	116	53	0.4569
Africa	Uganda	UG	Moyo	3.19765	31.5261	2003	2003	6	14	121	75	0.61984
Africa	Uganda	UG	Hoima	1.58112	31.1866	2003	2003	6	14	120	65	0.54167
Africa	Uganda	UG	Moyo	3.62798	31.7367	2003	2003	6	14	119	80	0.67227
Africa	Uganda	UG	Moyo	3.22957	31.549801	2003	2003	6	14	120	80	0.66667
Africa	Uganda	UG	Masindi	2.01975	31.422701	2003	2003	6	14	117	67	0.57265
Africa	Uganda	UG	Iganga	0.52625	33.8619	2003	2003	6	14	119	64	0.53782
Africa	Uganda	UG	Iganga	0.443417	33.481998	2003	2003	6	14	120	62	0.51667
Africa	Uganda	UG	Iganga	0.323433	33.6278	2003	2003	6	14	121	85	0.70248
Africa	Uganda	UG	Tororo	0.245483	33.943298	2003	2003	6	14	125	67	0.536
Africa	Uganda	UG	Moyo	3.2564	31.543301	2003	2003	6	14	120	73	0.60833
Africa	Uganda	UG	Iganga	0.166417	33.875	2003	2003	6	14	127	88	0.69291
Africa	Uganda	UG	Masindi	1.7586	31.420799	2003	2003	6	14	120	90	0.75
Africa	Uganda	UG	Masindi	2.17787	31.3829	2003	2003	6	14	119	73	0.61345
Africa	Uganda	UG	Hoima	1.58602	31.090599	2003	2003	6	14	71	20	0.28169
Africa	Uganda	UG	Moyo	3.5706	31.924601	2003	2003	6	14	120	54	0.45
Africa	Uganda	UG	Iganga	0.35065	33.705502	2003	2003	6	14	118	80	0.67797
Africa	Uganda	UG	Iganga	0.325767	33.713501	2003	2003	6	14	116	76	0.65517
Africa	Uganda	UG	Hoima	1.49342	31.284	2003	2003	6	14	128	60	0.46875
