Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Gulu	2.81513	32.3265	1998	2005	8	14	27	3	0.11111
Africa	Uganda	UG	Bundibugyo	0.6156	29.9753	1998	2005	8	15	60	0	0
Africa	Uganda	UG	Iganga	0.231917	33.909401	1998	2005	8	16	62	45	0.72581
Africa	Uganda	UG	Mukono	0.357383	33.026798	1998	2005	7	13	67	33	0.49254
Africa	Uganda	UG	Moyo	3.44807	31.7444	1998	2005	9	15	59	47	0.79661
Africa	Uganda	UG	Soroti	1.71783	33.8522	1998	2005	7	14	40	1	0.025
Africa	Uganda	UG	Mpigi	0.066483	32.520599	1998	2005	7	12	64	25	0.39063
Africa	Uganda	UG	Masaka	-0.50895	31.7005	2002	2002	5	60	55	3	0.05455
Africa	Uganda	UG	Arua	3.07422	31.281601	1998	2005	8	15	56	11	0.19643
Africa	Uganda	UG	Kitgum	3.30387	32.891899	1998	2005	5	13	62	1	0.01613
Africa	Uganda	UG	Kotido	2.53498	33.6222	1998	2005	8	14	54	19	0.35185
Africa	Uganda	UG	Iganga	0.341767	33.509201	1998	2005	7	15	124	14	0.1129
Africa	Uganda	UG	Lira	1.6395	32.877201	2002	2002	5	16	56	31	0.55
Africa	Uganda	UG	Kotido	3.00937	34.120499	1998	2005	7	16	59	0	0
Africa	Uganda	UG	Iganga	0.261283	33.514	2002	2002	5	16	142	10	0.07042
Africa	Uganda	UG	Arua	3.43578	31.2173	1998	2005	10	15	63	44	0.69841
Africa	Uganda	UG	Kibaale	0.951083	30.5665	1998	2005	7	18	65	7	0.10769
Africa	Uganda	UG	Kitgum	3.61208	33.039001	1998	2005	5	12	55	0	0
Africa	Uganda	UG	Rukungiri	-0.411917	29.7747	2005	2005	5	16	61	1	0.01639
Africa	Uganda	UG	Rakai	-0.9278	31.6654	2002	2002	5	60	45	3	0.06667
Africa	Uganda	UG	Mukono	0.2805	33.146301	1998	2005	5	15	70	45	0.64286
Africa	Uganda	UG	Moyo	3.39017	31.9538	1998	2005	8	14	59	44	0.74576
Africa	Uganda	UG	Mukono	0.683633	32.922199	1998	2005	8	13	53	0	0
Africa	Uganda	UG	Mpigi	0.06398	32.1087	2002	2002	5	60	143	30	0.20979
Africa	Uganda	UG	Iganga	0.177817	33.5611	2002	2002	5	16	110	98	0.89091
Africa	Uganda	UG	Kitgum	2.69015	32.7943	1998	2005	7	13	61	15	0.2459
Africa	Uganda	UG	Moyo	3.58578	31.584999	1998	2005	9	14	61	6	0.09836
Africa	Uganda	UG	Kotido	2.7993	33.7248	1998	2005	5	17	64	2	0.03125
Africa	Uganda	UG	Moroto	2.58668	34.742401	1998	2005	9	18	60	1	0.01667
Africa	Uganda	UG	Mpigi	0.2	32.599998	1998	2005	6	13	71	24	0.33803
Africa	Uganda	UG	Mpigi	0.12925	32.555199	1998	2005	7	14	69	12	0.17391
Africa	Uganda	UG	Tororo	0.932867	34.002102	2005	2005	5	16	73	2	0.0274
Africa	Uganda	UG	Kitgum	2.92515	33.004501	1998	2005	4	14	59	1	0.01695
Africa	Uganda	UG	Masaka	-0.3	32.033001	2002	2002	5	60	58	23	0.4
Africa	Uganda	UG	Moyo	3.22953	31.783701	1998	2005	9	14	59	44	0.74576
Africa	Uganda	UG	Kitgum	3.04172	33.3731	1998	2005	7	12	60	1	0.01667
Africa	Uganda	UG	Kotido	2.67686	33.662399	1998	2005	7	13	63	0	0
Africa	Uganda	UG	Tororo	0.85	34.150002	2002	2002	5	16	70	9	0.12857
Africa	Uganda	UG	Arua	3.10328	31.3993	1998	2005	7	18	64	8	0.125
Africa	Uganda	UG	Soroti	1.91733	33.9548	1998	2005	7	14	40	1	0.025
Africa	Uganda	UG	Luwero	1.3335	32.501701	1998	2005	7	13	50	3	0.06
Africa	Uganda	UG	Kitgum	2.80917	33.113499	1998	2005	8	12	53	7	0.13208
Africa	Uganda	UG	Kampala	0.2367	32.636002	2002	2002	5	60	99	17	0.17172
Africa	Uganda	UG	Arua	3.4181	31.117001	1998	2005	5	18	56	8	0.14286
Africa	Uganda	UG	Bundibugyo	0.670617	30.0121	1998	2005	7	14	68	1	0.01471
Africa	Uganda	UG	Iganga	0.16655	33.874901	2002	2002	5	16	63	60	0.95238
Africa	Uganda	UG	Kitgum	3.24012	32.9151	1998	2005	7	14	60	2	0.03333
Africa	Uganda	UG	Jinja	0.6479	33.283901	1998	2005	7	13	122	0	0
Africa	Uganda	UG	Soroti	1.75767	34.034302	1998	2005	6	14	42	0	0
Africa	Uganda	UG	Arua	3.00503	30.9098	2002	2002	5	16	67	29	0.43284
Africa	Uganda	UG	Jinja	0.488533	33.2202	1998	2005	5	15	118	0	0
Africa	Uganda	UG	Iganga	0.17782	33.561199	2002	2002	5	60	54	44	0.81481
Africa	Uganda	UG	Iganga	0.20765	33.893101	1998	2005	9	13	64	56	0.875
Africa	Uganda	UG	Moroto	2.55052	34.620701	1998	2005	7	21	62	0	0
Africa	Uganda	UG	Iganga	0.350683	33.705502	2002	2002	5	16	57	18	0.31579
Africa	Uganda	UG	Soroti	2.06353	33.374599	1998	2005	7	14	42	4	0.09524
Africa	Uganda	UG	Mubende	0.29188	31.8843	2002	2002	5	60	64	1	0.016
Africa	Uganda	UG	Mukono	0.700433	32.901001	1998	2005	6	13	53	0	0
Africa	Uganda	UG	Arua	3.0271	31.385099	1998	2005	8	15	59	11	0.18644
Africa	Uganda	UG	Tororo	0.247683	33.993198	2002	2002	5	16	118	58	0.49153
